age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
38,Self-emp,PhD,10,Divorced,Sales,Husband,Asian,Female,5000,1000,52,India,>50K
50,Self-emp,Bachelors,10,Never-married,Sales,Wife,White,Male,0,0,53,United-States,>50K
29,Private,HS-grad,9,Married,Sales,Husband,Black,Male,5000,0,42,UK,>50K
39,Self-emp,Masters,14,Divorced,Tech,Wife,Black,Female,0,0,49,United-States,>50K
61,Self-emp,Bachelors,15,Divorced,Tech,Wife,Black,Male,5000,0,46,UK,<=50K
42,Private,HS-grad,15,Never-married,Labor,Wife,Black,Male,5000,0,28,United-States,<=50K
44,Self-emp,Bachelors,8,Divorced,Exec-managerial,Not-in-family,Black,Female,5000,1000,39,India,<=50K
59,Government,HS-grad,15,Never-married,Exec-managerial,Not-in-family,Asian,Female,0,1000,42,UK,<=50K
45,Government,Bachelors,10,Divorced,Labor,Husband,Asian,Female,5000,2000,38,UK,>50K
33,Private,Bachelors,10,Married,Labor,Husband,Asian,Female,0,0,56,India,>50K
32,Self-emp,PhD,15,Married,Labor,Husband,Black,Female,0,1000,23,UK,<=50K
64,Government,PhD,12,Married,Tech,Wife,Asian,Male,5000,0,32,India,>50K
61,Government,HS-grad,12,Divorced,Labor,Wife,Asian,Female,10000,0,57,United-States,<=50K
20,Self-emp,Masters,15,Divorced,Exec-managerial,Wife,White,Female,10000,0,31,India,>50K
54,Self-emp,PhD,9,Married,Labor,Husband,Asian,Female,0,1000,28,United-States,>50K
24,Government,Bachelors,13,Married,Sales,Husband,White,Male,10000,0,34,UK,>50K
38,Government,PhD,9,Never-married,Exec-managerial,Husband,Black,Male,0,0,40,UK,>50K
26,Private,PhD,9,Never-married,Exec-managerial,Husband,Black,Female,0,0,34,India,<=50K
56,Private,HS-grad,15,Married,Exec-managerial,Not-in-family,Black,Male,10000,0,24,United-States,>50K
35,Government,PhD,12,Married,Tech,Not-in-family,Black,Male,10000,1000,24,India,>50K
21,Private,PhD,14,Divorced,Tech,Not-in-family,Asian,Male,0,0,44,UK,>50K
42,Government,Bachelors,14,Married,Exec-managerial,Husband,White,Female,0,2000,43,UK,<=50K
31,Government,PhD,15,Never-married,Sales,Not-in-family,Black,Male,10000,1000,56,United-States,>50K
26,Private,Bachelors,14,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2000,50,United-States,>50K
43,Private,PhD,13,Never-married,Tech,Husband,White,Female,0,2000,53,UK,>50K
19,Self-emp,PhD,12,Never-married,Sales,Not-in-family,White,Female,0,1000,33,UK,>50K
37,Self-emp,Masters,15,Never-married,Exec-managerial,Husband,White,Male,5000,0,46,United-States,>50K
45,Self-emp,PhD,8,Never-married,Tech,Husband,White,Female,10000,0,23,India,<=50K
64,Government,Bachelors,11,Married,Sales,Husband,White,Female,10000,1000,42,India,>50K
24,Private,Bachelors,11,Never-married,Labor,Wife,Asian,Female,10000,2000,57,United-States,>50K
61,Government,HS-grad,15,Never-married,Labor,Husband,White,Female,10000,1000,24,United-States,>50K
25,Private,HS-grad,15,Never-married,Exec-managerial,Not-in-family,Asian,Male,10000,1000,46,United-States,>50K
64,Government,Masters,8,Never-married,Labor,Not-in-family,White,Female,10000,0,33,UK,>50K
52,Self-emp,Bachelors,14,Married,Tech,Husband,White,Female,0,0,26,India,<=50K
31,Self-emp,Bachelors,11,Divorced,Sales,Wife,Black,Male,0,2000,37,United-States,<=50K
34,Self-emp,Bachelors,13,Divorced,Exec-managerial,Wife,Black,Female,0,0,51,India,>50K
53,Government,Masters,15,Divorced,Sales,Wife,Black,Male,10000,0,21,UK,>50K
57,Private,Bachelors,12,Divorced,Sales,Not-in-family,Black,Female,0,0,39,UK,<=50K
21,Private,HS-grad,11,Never-married,Sales,Wife,Black,Male,10000,2000,48,United-States,<=50K
19,Self-emp,Masters,13,Divorced,Tech,Wife,Black,Female,0,1000,45,United-States,>50K
23,Self-emp,HS-grad,12,Divorced,Exec-managerial,Husband,White,Female,0,0,57,United-States,<=50K
59,Self-emp,HS-grad,15,Married,Labor,Wife,White,Male,0,0,20,United-States,>50K
21,Self-emp,Masters,13,Married,Sales,Wife,Black,Male,0,2000,24,India,>50K
46,Private,PhD,8,Married,Sales,Wife,Black,Male,10000,0,33,United-States,>50K
35,Government,PhD,15,Never-married,Sales,Husband,Black,Male,0,2000,44,India,<=50K
43,Government,HS-grad,9,Never-married,Tech,Husband,White,Male,5000,0,28,UK,<=50K
61,Government,PhD,8,Never-married,Labor,Wife,Black,Female,5000,0,49,UK,>50K
51,Government,Bachelors,11,Married,Sales,Not-in-family,Black,Male,0,2000,38,India,<=50K
27,Self-emp,Masters,12,Divorced,Tech,Not-in-family,White,Female,0,0,59,India,>50K
53,Self-emp,HS-grad,13,Married,Tech,Husband,White,Male,0,0,27,United-States,<=50K
31,Self-emp,Bachelors,11,Never-married,Sales,Wife,Asian,Male,0,1000,35,United-States,<=50K
48,Government,PhD,11,Married,Sales,Not-in-family,Black,Female,10000,0,27,United-States,>50K
32,Self-emp,Bachelors,15,Divorced,Tech,Wife,White,Female,5000,1000,42,UK,>50K
25,Self-emp,PhD,9,Never-married,Tech,Husband,Asian,Female,0,2000,28,India,<=50K
31,Private,HS-grad,14,Divorced,Sales,Not-in-family,White,Female,0,1000,51,India,<=50K
40,Private,Bachelors,11,Divorced,Tech,Husband,Asian,Male,0,2000,56,India,<=50K
57,Self-emp,Masters,9,Never-married,Tech,Wife,Asian,Female,10000,0,53,India,>50K
38,Private,HS-grad,12,Divorced,Sales,Husband,Black,Male,0,2000,37,United-States,<=50K
33,Private,Bachelors,12,Married,Sales,Husband,Black,Male,0,2000,34,United-States,>50K
62,Self-emp,Bachelors,13,Divorced,Exec-managerial,Husband,Asian,Male,0,1000,34,India,<=50K
35,Self-emp,PhD,14,Divorced,Labor,Husband,Black,Female,0,0,48,United-States,>50K
64,Self-emp,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,10000,1000,42,UK,>50K
41,Self-emp,HS-grad,8,Married,Sales,Wife,White,Female,0,0,42,United-States,<=50K
43,Government,HS-grad,12,Divorced,Sales,Not-in-family,Asian,Female,0,0,20,UK,<=50K
42,Government,HS-grad,15,Divorced,Labor,Wife,Asian,Female,0,0,41,UK,<=50K
62,Self-emp,PhD,14,Married,Exec-managerial,Wife,White,Female,10000,0,26,India,>50K
58,Private,Masters,13,Never-married,Tech,Wife,White,Male,5000,1000,51,India,>50K
46,Self-emp,HS-grad,8,Never-married,Labor,Wife,Asian,Female,0,2000,47,United-States,>50K
32,Self-emp,PhD,12,Never-married,Sales,Wife,White,Male,5000,2000,51,India,>50K
62,Private,Masters,12,Divorced,Sales,Not-in-family,White,Male,0,0,52,UK,>50K
18,Government,Masters,13,Never-married,Exec-managerial,Wife,Asian,Female,10000,0,32,UK,>50K
42,Self-emp,PhD,13,Married,Exec-managerial,Husband,Black,Female,0,0,47,United-States,<=50K
24,Self-emp,HS-grad,10,Divorced,Exec-managerial,Not-in-family,White,Female,5000,2000,28,UK,<=50K
26,Government,Masters,15,Divorced,Tech,Not-in-family,Black,Female,0,0,22,India,>50K
41,Government,HS-grad,11,Divorced,Labor,Wife,Black,Male,10000,0,36,United-States,>50K
18,Private,HS-grad,11,Never-married,Labor,Husband,White,Female,10000,2000,53,United-States,>50K
61,Government,Bachelors,8,Never-married,Exec-managerial,Husband,Black,Female,10000,2000,51,United-States,>50K
25,Government,HS-grad,11,Never-married,Tech,Wife,Asian,Male,0,0,28,India,<=50K
41,Government,Bachelors,8,Divorced,Labor,Wife,White,Male,0,2000,20,UK,<=50K
28,Private,Masters,14,Married,Sales,Husband,White,Female,0,1000,39,India,>50K
34,Government,PhD,12,Divorced,Sales,Not-in-family,Black,Male,0,1000,24,United-States,<=50K
25,Government,Bachelors,10,Married,Sales,Not-in-family,White,Female,5000,0,59,UK,>50K
52,Private,PhD,10,Divorced,Labor,Wife,White,Female,10000,1000,40,United-States,>50K
52,Government,Masters,15,Married,Exec-managerial,Not-in-family,Black,Male,5000,1000,24,India,>50K
50,Government,HS-grad,15,Divorced,Sales,Not-in-family,Black,Male,0,0,23,United-States,<=50K
22,Private,Masters,12,Divorced,Exec-managerial,Husband,White,Female,0,0,27,India,<=50K
59,Self-emp,PhD,13,Married,Tech,Not-in-family,White,Female,5000,0,44,United-States,>50K
56,Private,Masters,15,Married,Sales,Husband,Asian,Female,0,0,26,United-States,<=50K
58,Government,HS-grad,15,Married,Tech,Wife,Asian,Male,0,1000,56,United-States,<=50K
45,Government,Masters,9,Married,Exec-managerial,Wife,White,Male,5000,1000,51,India,>50K
24,Government,HS-grad,9,Married,Labor,Husband,White,Female,5000,2000,36,India,<=50K
26,Private,Bachelors,11,Married,Exec-managerial,Husband,Asian,Female,5000,2000,47,India,<=50K
25,Government,PhD,13,Married,Sales,Wife,Black,Male,0,0,25,India,<=50K
29,Government,HS-grad,8,Married,Sales,Husband,White,Female,0,1000,55,India,<=50K
51,Private,HS-grad,14,Divorced,Exec-managerial,Wife,Asian,Male,10000,2000,21,UK,>50K
50,Self-emp,Masters,10,Married,Sales,Wife,Asian,Female,10000,0,50,United-States,>50K
40,Self-emp,Bachelors,11,Married,Sales,Wife,White,Male,0,1000,20,India,<=50K
41,Government,HS-grad,15,Divorced,Tech,Wife,White,Female,5000,0,22,UK,>50K
54,Private,Bachelors,12,Divorced,Labor,Wife,Asian,Female,10000,0,32,UK,>50K
52,Government,Bachelors,13,Never-married,Exec-managerial,Wife,White,Female,5000,0,50,United-States,>50K
61,Private,Masters,15,Never-married,Tech,Not-in-family,Black,Male,0,2000,48,United-States,>50K
57,Private,HS-grad,10,Married,Sales,Not-in-family,White,Female,0,0,52,United-States,>50K
39,Self-emp,Masters,8,Married,Tech,Wife,Asian,Female,5000,2000,29,India,>50K
44,Self-emp,PhD,8,Never-married,Labor,Not-in-family,Asian,Female,0,1000,57,United-States,>50K
52,Private,PhD,9,Never-married,Exec-managerial,Husband,White,Female,0,0,28,United-States,<=50K
18,Government,HS-grad,11,Married,Labor,Husband,Asian,Female,0,2000,20,United-States,<=50K
52,Self-emp,Bachelors,15,Never-married,Labor,Wife,Black,Female,0,0,56,UK,<=50K
54,Government,HS-grad,12,Married,Tech,Not-in-family,White,Male,0,1000,51,India,>50K
64,Self-emp,HS-grad,10,Divorced,Tech,Husband,White,Male,0,2000,52,United-States,<=50K
31,Self-emp,PhD,15,Divorced,Labor,Husband,Asian,Female,10000,1000,21,UK,>50K
20,Government,PhD,14,Never-married,Sales,Husband,Black,Female,10000,1000,21,India,>50K
18,Self-emp,Bachelors,8,Divorced,Exec-managerial,Husband,White,Male,0,0,24,United-States,<=50K
22,Self-emp,Bachelors,15,Divorced,Sales,Not-in-family,Asian,Male,5000,0,29,UK,<=50K
43,Government,HS-grad,10,Divorced,Sales,Husband,White,Female,0,1000,57,India,>50K
31,Self-emp,Masters,12,Divorced,Exec-managerial,Husband,Black,Male,5000,1000,56,United-States,>50K
56,Self-emp,HS-grad,10,Married,Tech,Husband,Asian,Female,0,2000,21,United-States,>50K
44,Self-emp,Bachelors,11,Married,Sales,Wife,White,Female,0,0,59,UK,>50K
26,Government,Masters,9,Never-married,Tech,Husband,Asian,Male,5000,2000,44,United-States,>50K
32,Private,PhD,10,Divorced,Exec-managerial,Husband,Asian,Female,0,0,57,UK,>50K
32,Government,Bachelors,13,Divorced,Sales,Not-in-family,Black,Female,0,2000,56,UK,>50K
43,Private,Bachelors,15,Divorced,Tech,Husband,Black,Female,0,1000,37,UK,<=50K
59,Self-emp,Masters,9,Never-married,Tech,Husband,White,Female,5000,0,46,India,>50K
30,Private,Bachelors,12,Married,Sales,Husband,Asian,Male,10000,2000,39,UK,<=50K
49,Government,Bachelors,9,Divorced,Exec-managerial,Wife,Asian,Male,0,0,53,India,<=50K
56,Government,Bachelors,10,Married,Labor,Not-in-family,Asian,Male,5000,0,27,United-States,>50K
49,Self-emp,Bachelors,10,Never-married,Tech,Not-in-family,White,Female,0,2000,23,India,<=50K
21,Private,Bachelors,13,Married,Exec-managerial,Wife,Black,Male,0,2000,49,UK,<=50K
47,Self-emp,Bachelors,8,Divorced,Sales,Wife,Black,Male,10000,0,55,United-States,>50K
54,Self-emp,Bachelors,15,Married,Tech,Not-in-family,Asian,Male,5000,2000,28,UK,>50K
40,Government,Bachelors,13,Married,Tech,Husband,White,Female,5000,0,31,UK,>50K
56,Private,PhD,10,Never-married,Tech,Not-in-family,Asian,Female,5000,0,33,United-States,>50K
62,Private,Bachelors,14,Never-married,Exec-managerial,Wife,Black,Female,0,0,54,UK,<=50K
32,Private,PhD,9,Never-married,Tech,Husband,Asian,Female,0,2000,25,India,>50K
60,Private,PhD,13,Never-married,Tech,Not-in-family,Asian,Female,10000,2000,42,United-States,>50K
46,Self-emp,HS-grad,13,Married,Sales,Husband,Asian,Male,5000,2000,23,United-States,<=50K
53,Self-emp,HS-grad,15,Married,Tech,Husband,Black,Male,10000,2000,20,United-States,>50K
30,Government,PhD,14,Never-married,Exec-managerial,Wife,White,Male,0,0,28,UK,<=50K
49,Self-emp,PhD,14,Never-married,Sales,Not-in-family,Asian,Female,0,2000,28,UK,<=50K
24,Self-emp,Bachelors,14,Divorced,Labor,Wife,Black,Male,10000,0,34,United-States,>50K
39,Government,HS-grad,15,Divorced,Sales,Not-in-family,Asian,Male,5000,0,43,India,>50K
45,Government,Masters,8,Never-married,Tech,Not-in-family,White,Female,10000,1000,27,UK,>50K
19,Government,HS-grad,10,Married,Labor,Husband,Asian,Female,5000,0,47,UK,>50K
59,Self-emp,PhD,10,Never-married,Sales,Husband,White,Female,5000,1000,36,UK,<=50K
62,Self-emp,PhD,12,Married,Tech,Husband,Black,Female,0,0,54,India,>50K
23,Government,Bachelors,15,Married,Sales,Wife,White,Male,10000,0,50,UK,<=50K
45,Government,Bachelors,8,Divorced,Exec-managerial,Husband,White,Female,0,2000,23,UK,<=50K
45,Government,HS-grad,12,Never-married,Tech,Wife,Black,Female,0,0,33,India,<=50K
61,Self-emp,Bachelors,12,Never-married,Exec-managerial,Husband,White,Female,0,2000,44,India,<=50K
61,Self-emp,Masters,12,Married,Tech,Wife,White,Male,5000,2000,59,UK,>50K
37,Private,Masters,15,Never-married,Exec-managerial,Not-in-family,Black,Male,10000,0,26,United-States,>50K
47,Self-emp,Bachelors,11,Divorced,Labor,Wife,White,Male,0,0,50,United-States,<=50K
28,Self-emp,Masters,12,Divorced,Exec-managerial,Wife,White,Male,0,2000,54,India,<=50K
45,Self-emp,Masters,13,Never-married,Sales,Wife,Asian,Male,0,0,57,UK,>50K
42,Government,HS-grad,9,Never-married,Tech,Not-in-family,White,Female,0,0,39,India,<=50K
56,Self-emp,Masters,13,Divorced,Sales,Wife,White,Female,10000,0,35,India,<=50K
50,Government,PhD,13,Never-married,Exec-managerial,Not-in-family,White,Female,5000,0,41,United-States,>50K
18,Private,PhD,10,Married,Tech,Husband,Black,Male,0,0,55,India,>50K
44,Private,HS-grad,11,Never-married,Exec-managerial,Husband,White,Female,5000,0,38,India,<=50K
30,Government,Bachelors,15,Married,Labor,Not-in-family,Black,Male,0,2000,21,UK,<=50K
58,Government,HS-grad,12,Never-married,Labor,Wife,Black,Male,5000,1000,23,UK,<=50K
20,Government,Bachelors,10,Never-married,Labor,Husband,White,Female,0,1000,53,India,<=50K
56,Self-emp,Bachelors,8,Divorced,Exec-managerial,Wife,White,Female,0,0,26,India,<=50K
23,Private,Bachelors,8,Married,Exec-managerial,Wife,White,Female,0,1000,33,UK,<=50K
25,Government,Bachelors,15,Divorced,Labor,Not-in-family,White,Female,0,1000,51,United-States,>50K
44,Self-emp,Bachelors,10,Never-married,Exec-managerial,Husband,White,Male,0,1000,36,UK,<=50K
26,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,5000,2000,56,UK,<=50K
54,Self-emp,Bachelors,15,Never-married,Exec-managerial,Not-in-family,White,Male,10000,2000,33,UK,>50K
50,Private,Masters,10,Never-married,Sales,Not-in-family,Black,Female,5000,1000,36,UK,>50K
59,Self-emp,Masters,10,Never-married,Labor,Not-in-family,Asian,Male,0,0,51,UK,>50K
61,Private,Bachelors,11,Married,Exec-managerial,Wife,Black,Female,0,0,21,United-States,<=50K
41,Private,Masters,15,Married,Labor,Husband,White,Male,0,0,58,UK,>50K
32,Self-emp,PhD,8,Married,Tech,Husband,Asian,Female,5000,2000,23,UK,>50K
49,Government,HS-grad,8,Divorced,Exec-managerial,Husband,Asian,Male,0,2000,59,United-States,>50K
49,Private,HS-grad,12,Never-married,Exec-managerial,Wife,White,Female,0,2000,49,India,<=50K
41,Government,Bachelors,13,Divorced,Labor,Wife,White,Female,10000,2000,49,United-States,>50K
58,Self-emp,Bachelors,15,Divorced,Labor,Not-in-family,Black,Male,5000,1000,52,UK,>50K
29,Government,PhD,10,Never-married,Labor,Not-in-family,Asian,Female,0,2000,20,India,>50K
56,Government,Bachelors,15,Divorced,Tech,Not-in-family,Asian,Male,0,1000,52,United-States,>50K
19,Government,Masters,10,Never-married,Tech,Not-in-family,White,Female,0,0,55,India,>50K
20,Government,PhD,9,Never-married,Labor,Husband,White,Male,5000,1000,50,United-States,>50K
54,Government,Masters,15,Never-married,Exec-managerial,Not-in-family,Asian,Female,0,0,56,United-States,>50K
34,Private,HS-grad,14,Never-married,Exec-managerial,Wife,Asian,Male,0,2000,33,India,<=50K
19,Private,Masters,14,Divorced,Labor,Wife,White,Male,10000,0,25,India,<=50K
19,Private,HS-grad,8,Divorced,Sales,Wife,White,Male,10000,0,26,India,>50K
45,Self-emp,Masters,9,Divorced,Tech,Not-in-family,White,Male,0,1000,59,India,>50K
40,Government,HS-grad,11,Married,Tech,Husband,Black,Female,0,0,43,UK,<=50K
54,Private,Bachelors,12,Divorced,Sales,Husband,Black,Female,5000,0,23,United-States,<=50K
49,Self-emp,Masters,9,Divorced,Labor,Not-in-family,White,Male,10000,0,44,UK,>50K
50,Private,HS-grad,8,Married,Exec-managerial,Not-in-family,Black,Male,0,2000,22,United-States,<=50K
18,Private,Masters,11,Never-married,Exec-managerial,Wife,Asian,Female,0,0,47,UK,>50K
36,Government,PhD,10,Never-married,Tech,Wife,Asian,Male,0,0,42,UK,>50K
19,Self-emp,Bachelors,11,Never-married,Sales,Husband,White,Male,0,1000,55,United-States,<=50K
61,Government,HS-grad,13,Married,Exec-managerial,Wife,Asian,Male,0,0,32,UK,>50K
43,Government,PhD,15,Divorced,Tech,Wife,Asian,Female,0,0,41,India,>50K
49,Private,Masters,9,Divorced,Exec-managerial,Not-in-family,Asian,Male,5000,2000,44,India,>50K
23,Government,PhD,8,Divorced,Exec-managerial,Husband,Asian,Female,0,2000,43,UK,>50K
49,Self-emp,Masters,9,Divorced,Exec-managerial,Not-in-family,Asian,Female,0,1000,56,UK,>50K
21,Government,Bachelors,10,Married,Tech,Husband,Black,Female,0,2000,52,United-States,>50K
28,Government,PhD,14,Divorced,Sales,Not-in-family,Black,Male,0,0,33,United-States,>50K
34,Government,Bachelors,10,Never-married,Labor,Husband,White,Male,0,0,43,UK,<=50K
55,Private,HS-grad,8,Married,Sales,Wife,Asian,Male,0,0,41,United-States,<=50K
41,Self-emp,Masters,13,Married,Exec-managerial,Husband,Black,Female,10000,1000,56,India,>50K
22,Private,Masters,12,Never-married,Sales,Husband,Black,Male,0,0,42,India,>50K
51,Private,Bachelors,15,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,25,India,<=50K
23,Private,Bachelors,15,Divorced,Tech,Husband,Asian,Female,10000,1000,38,United-States,>50K
39,Private,HS-grad,11,Never-married,Tech,Husband,Black,Female,5000,1000,31,United-States,>50K
28,Private,PhD,11,Married,Tech,Husband,White,Female,5000,0,45,United-States,>50K
33,Self-emp,Masters,10,Married,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,>50K
50,Government,Masters,9,Married,Sales,Husband,Asian,Male,0,2000,33,UK,<=50K
26,Private,HS-grad,14,Divorced,Labor,Not-in-family,White,Male,0,2000,36,UK,<=50K
23,Private,HS-grad,9,Divorced,Labor,Wife,Black,Female,10000,0,49,UK,>50K
33,Self-emp,Bachelors,13,Never-married,Tech,Not-in-family,Asian,Male,0,2000,26,UK,<=50K
46,Self-emp,Bachelors,12,Divorced,Labor,Husband,White,Female,10000,0,40,India,>50K
20,Government,PhD,15,Divorced,Exec-managerial,Wife,Asian,Male,0,2000,20,United-States,>50K
37,Self-emp,HS-grad,9,Married,Sales,Husband,Black,Male,0,0,57,India,<=50K
53,Government,PhD,15,Married,Labor,Not-in-family,White,Male,5000,1000,23,United-States,>50K
36,Private,HS-grad,11,Never-married,Labor,Wife,Black,Male,10000,0,27,UK,<=50K
43,Private,Masters,15,Married,Sales,Wife,White,Male,10000,0,37,India,>50K
20,Government,HS-grad,14,Divorced,Labor,Wife,Asian,Female,0,0,27,United-States,<=50K
36,Self-emp,HS-grad,15,Never-married,Sales,Husband,White,Female,10000,0,50,UK,>50K
37,Government,Masters,9,Never-married,Exec-managerial,Wife,White,Male,0,1000,50,United-States,>50K
49,Self-emp,HS-grad,14,Married,Exec-managerial,Wife,White,Male,0,2000,47,United-States,>50K
24,Private,PhD,15,Married,Exec-managerial,Wife,Asian,Female,10000,2000,56,UK,>50K
58,Self-emp,Bachelors,12,Married,Tech,Wife,White,Male,5000,1000,22,India,<=50K
50,Government,Bachelors,11,Never-married,Exec-managerial,Not-in-family,Black,Female,5000,2000,34,United-States,<=50K
57,Government,PhD,15,Married,Labor,Husband,Asian,Male,0,0,23,UK,<=50K
56,Private,Masters,14,Divorced,Tech,Husband,Asian,Male,0,1000,54,United-States,>50K
35,Self-emp,HS-grad,9,Never-married,Tech,Wife,Black,Female,0,0,53,United-States,>50K
57,Self-emp,PhD,11,Married,Tech,Not-in-family,Asian,Female,10000,1000,55,United-States,>50K
18,Self-emp,Bachelors,10,Divorced,Exec-managerial,Wife,White,Male,0,0,25,India,<=50K
28,Private,Bachelors,10,Divorced,Tech,Husband,Asian,Female,0,1000,23,India,<=50K
45,Self-emp,PhD,13,Married,Exec-managerial,Husband,Black,Female,10000,0,49,India,>50K
42,Government,Bachelors,10,Divorced,Exec-managerial,Husband,Asian,Male,0,0,58,India,>50K
40,Self-emp,PhD,9,Never-married,Tech,Wife,Black,Male,0,1000,37,UK,<=50K
48,Private,Bachelors,12,Never-married,Tech,Wife,Asian,Male,5000,1000,41,India,>50K
47,Self-emp,PhD,11,Divorced,Labor,Not-in-family,Black,Male,0,2000,29,United-States,>50K
59,Self-emp,HS-grad,14,Never-married,Tech,Not-in-family,Asian,Female,5000,2000,48,UK,>50K
52,Government,HS-grad,8,Married,Exec-managerial,Husband,White,Male,0,0,42,United-States,<=50K
24,Self-emp,HS-grad,10,Divorced,Labor,Husband,Black,Male,0,2000,23,India,<=50K
33,Government,HS-grad,10,Never-married,Labor,Not-in-family,Black,Female,0,0,38,United-States,<=50K
43,Government,Bachelors,8,Married,Exec-managerial,Husband,Asian,Female,5000,0,45,United-States,>50K
19,Private,Masters,14,Married,Tech,Not-in-family,Asian,Male,10000,1000,26,United-States,>50K
18,Government,PhD,14,Never-married,Tech,Wife,Asian,Male,0,2000,32,United-States,>50K
29,Government,Masters,8,Divorced,Sales,Husband,White,Female,10000,0,22,India,>50K
22,Private,Bachelors,14,Married,Tech,Husband,Asian,Male,10000,0,59,United-States,>50K
54,Government,Bachelors,9,Married,Sales,Not-in-family,Black,Female,0,1000,30,United-States,<=50K
49,Private,Masters,14,Married,Labor,Wife,Asian,Female,0,0,35,United-States,>50K
26,Self-emp,Masters,11,Married,Labor,Husband,White,Female,5000,0,39,United-States,>50K
58,Private,Bachelors,14,Divorced,Labor,Husband,Asian,Male,5000,1000,42,India,<=50K
52,Government,Bachelors,15,Never-married,Sales,Not-in-family,Asian,Male,0,0,42,United-States,<=50K
36,Private,PhD,15,Never-married,Exec-managerial,Wife,Black,Female,10000,1000,51,UK,>50K
33,Government,HS-grad,10,Never-married,Exec-managerial,Not-in-family,Asian,Male,10000,0,57,UK,>50K
20,Self-emp,HS-grad,12,Married,Labor,Wife,White,Female,0,2000,22,United-States,<=50K
37,Private,PhD,9,Divorced,Sales,Wife,Asian,Male,0,0,27,United-States,>50K
41,Self-emp,Masters,9,Never-married,Sales,Not-in-family,Asian,Male,5000,1000,57,India,>50K
50,Government,Bachelors,14,Divorced,Labor,Not-in-family,Black,Female,0,0,59,UK,>50K
41,Government,Masters,12,Never-married,Tech,Wife,Asian,Male,10000,2000,33,India,>50K
28,Self-emp,HS-grad,12,Married,Labor,Not-in-family,Black,Male,0,0,27,United-States,<=50K
25,Private,HS-grad,13,Never-married,Sales,Husband,Black,Male,0,0,30,UK,<=50K
53,Private,Masters,12,Married,Tech,Husband,Asian,Female,10000,1000,52,UK,>50K
55,Government,HS-grad,14,Married,Exec-managerial,Husband,Black,Male,10000,2000,34,India,>50K
57,Self-emp,Bachelors,14,Never-married,Tech,Husband,Black,Female,5000,0,56,United-States,>50K
37,Self-emp,PhD,8,Divorced,Exec-managerial,Husband,Asian,Male,5000,0,33,UK,>50K
52,Private,Masters,10,Married,Sales,Not-in-family,Asian,Male,10000,0,45,India,<=50K
42,Private,Bachelors,15,Divorced,Labor,Wife,White,Male,5000,0,27,UK,>50K
52,Private,Bachelors,13,Never-married,Labor,Not-in-family,White,Female,5000,2000,23,United-States,<=50K
42,Self-emp,HS-grad,14,Married,Labor,Husband,Black,Female,5000,1000,55,United-States,>50K
